Minutes,TrAmb1,TrAmb2,RH1,TrTTankOut,TrHPWH1WIn,TrHPWH2WIn,TrHPWH1WOut,TrHPWH2WOut,TrHPWH12WIn,TrHPWH12WOut,TrMixCold,TrMixHot,TrMixOut,TrRecircIn,TrRecirc2,TrPath1Out,TrPath2Out,TrPath12Out,PLastApt,FaPath1,FdPath1,CPath1,FaPath2,FdPath2,CPath2,CRecirc,WH1,WH2,FaPath12,FdPath12,FaTotal,FdTotal,CPath12,CTotal,FaHP1In,CHP1In,FaHP2In,CHP2In,FdHP1In,FdHP2In,CHP12In,TcSto1Tank01,TcSto1Tank02,TcSto1Tank03,TcSto1Tank04,TcSto1Tank05,TcSto1Tank06,TcSto1Tank07,TcSto1Tank08,TcSto1Tank09,TcSto1Tank10,TcSto1Tank11,TcSto1Tank12,TcWH1Tank01,TcWH1Tank02,TcWH1Tank03,TcWH1Tank04,TcWH1Tank05,TcWH1Tank06,TcWH1Tank07,TcWH1Tank08,TcWH1Tank09,TcWH1Tank10,TcWH1Tank11,TcWH1Tank12,WHtr,TcSto1Avg,TcWH1Avg,TrHtrIn,TrHtrOut,TrStoIn,TrStoOut,FdFMPStoOut,CFMPStoOut,FdFMSHtrOut,CFMSHtrOut,FdRecirc,FaFMCM,FdFMCM,CFMCM,TrHPSup,TrSto2HP,dt,FdFMRH_Calc,CFMRH_Calc,going_out,coming_in,vol_balance,Total_HW_E_At_Fixture_BTU,Min_Since_Draw,TankdEdt_W,TankdEdt_WApt,TankdEdt_WApt_sansUA,MV_Hot_Frac_TempBased,MV_Hot_Frac_VolBased,stratification_index_Sto1,stratification_index_WH1,Eout_hp1_BTU,Eout_hp2_BTU,dEHtr1,Q_Draw_P2S,Q_Swing_RE,dESto1_kBTU,COP_hp1,COP_hp2
259,67.315025,67.5012916666667,50.0300833333333,,,,,,,,119.4105,123.09475,119.866166666667,119.80025,118.966916666667,,,,,0,0,0,0,0,0,1.99378,1.22333333333333,1.3,0,0,0,1.98366583333335,0,1.99378,0,0,0.00938868666666667,0,0,0,0,140.425666666667,140.075083333333,139.824,140.090916666667,140.208166666667,141.521,140.598416666667,140.425583333333,140.608666666667,140.371666666667,137.317,118.357083333333,124.220583333333,124.45025,124.659916666667,125.03,124.872583333333,125.393083333333,125.02525,125.190083333333,124.343666666667,117.3085,115.077166666667,113.766666666667,1789.39441666659,138.318604166666,122.4448125,115.116333333333,124.80225,74.3202833333333,99.8290916666667,0,0,0.161315916666666,0.1619276,1.98366583333335,1.79135833333334,1.77706083333334,1.782157,102.39375,70.5697166666667,1,0.20660500000001,0.211623,1.99378,1.9440846,0.0496954000000001,0,163,4141.92195907024,517.74024488378,538.231365398826,0.123679627242179,0.0812163829509775,0.23890613793974,0.103283679605053,,,235.547129027337,0,101.761106869301,69.3759256933559,,
260,66.711125,67.5266833333333,49.58095,,,,,,,,119.3755,122.898333333333,119.76925,119.72025,118.891916666667,,,,,0,0,0,0,0,0,2.009,1.26,1.3,0,0,0,2.01221833333335,0,2.009,0,0,0.009376345,0,0,0,0,140.490916666667,140.14125,139.89375,140.17,140.297166666667,141.625583333333,140.720583333333,140.553416666667,140.755416666667,140.52675,137.465333333333,118.447333333333,124.634,124.650583333333,124.918416666667,125.229416666667,125.060583333333,125.629083333333,125.28,125.487416666667,124.448833333333,117.450083333333,115.220833333333,113.840916666667,0.301333333333334,138.423958333333,122.654180555556,114.929416666667,124.873666666667,74.475925,99.9578583333333,0,0,0.136572333333334,0.1366266,2.01221833333335,1.82025166666667,1.83833,1.833224,102.555083333333,70.5526,1,0.17388833333335,0.175776,2.009,1.9698506,0.0391493999999999,0,164,3656.01373534684,457.001716918355,477.515974730855,0.111770828405176,0.0680072672971628,0.239086909643221,0.104593390220787,,,207.913994410162,0,0.01713653136,104.622481979482,,
261,66.6951583333333,67.522675,49.509425,,,,,,,,119.29125,122.74925,119.698833333333,119.656666666667,118.803166666667,,,,,0,0,0,0,0,0,1.993779,1.24,1.3,0,0,0,1.9861675,0,1.993779,0,0,0.00926433583333334,0,0,0,0,140.464333333333,140.094416666667,139.91425,140.137083333333,140.2655,141.603916666667,140.69625,140.5425,140.729583333333,140.469166666667,137.348,118.38325,124.672833333333,124.637583333333,124.87275,125.153916666667,125.025166666667,125.534083333333,125.231416666667,125.260416666667,124.49325,117.334833333333,115.06925,113.781166666667,0.298,138.387354166667,122.588888888889,114.789916666667,124.867083333333,74.5858583333333,100.450666666667,0,0,0.152515583333334,0.1518072,1.9861675,1.74166166666667,1.74005666666667,1.746414,102.48025,70.5237416666667,1,0.24611083333333,0.247365,1.993779,1.8982212,0.0955578000000001,0,165,-1140.13204881855,-142.516506102319,-122.011679954556,0.117866782340368,0.0761404348225154,0.239415789473414,0.105230722447816,,,-64.8382160419916,0,0.01694696796,-36.3499507285,,
262,67.3731666666667,67.5090833333333,49.9139333333333,,,,,,,,119.220583333333,122.77675,119.7355,119.582916666667,118.767,,,,,0,0,0,0,0,0,1.99378,1.25666666666667,1.3,0,0,0,2.00077333333332,0,1.99378,0,0,0.00931075333333333,0,0,0,0,140.305833333333,139.975916666667,139.778583333333,140.043583333333,140.14025,141.443083333333,140.52475,140.376666666667,140.51875,140.212083333333,137.04125,118.2205,124.4835,124.496583333333,124.73175,124.970333333333,124.860333333333,125.298,125.077166666667,125.03075,124.579916666667,117.144916666667,114.833333333333,113.660083333333,0.299333333333333,138.215104166667,122.430555555556,114.805666666667,124.931333333333,74.7758833333333,99.6405583333333,0,0,0.220759416666667,0.2226508,2.00077333333332,1.71426499999999,1.70559916666666,1.705563,102.372333333333,70.49285,1,0.29517416666666,0.288217,1.99378,1.9282138,0.0655662000000001,0,166,-2764.83840809176,-345.60480101147,-325.145882946269,0.144795425786274,0.111672702103542,0.23930209030543,0.105581387230683,,,-157.233708333007,0,0.01702279332,-171.053723749991,,
263,68.1366666666667,67.4962833333333,50.13535,,,,,,,,119.15425,122.927083333333,119.75225,119.579333333333,118.733083333333,,,,,0,0,0,0,0,0,2.003926,1.28,1.3,0,0,0,2.00451083333331,0,2.003926,0,0,0.00933071166666668,0,0,0,0,140.20725,139.933083333333,139.737833333333,139.912083333333,140.030416666667,141.311583333333,140.38075,140.219166666667,140.334833333333,140.00475,136.847083333333,118.097666666667,124.35375,124.403,124.609083333333,124.851333333333,124.736166666667,125.159416666667,124.944166666667,124.981916666667,123.928666666667,116.9935,114.722416666667,113.571333333333,0.300333333333333,138.084708333333,122.271229166667,114.952333333333,124.97175,74.9446083333333,100.321683333333,0,0,0.257338749999999,0.2580726,2.00451083333331,1.70338749999999,1.68829499999999,1.685135,102.552333333333,70.470325,1,0.31621583333332,0.318791,2.003926,1.9432076,0.0607183999999998,0,167,-2782.17928057127,-347.772410071409,-327.347518578353,0.158501568229019,0.128783497993439,0.239211579783544,0.104962644706801,,,-158.219867118165,0,0.01707966234,-129.490234271502,,
264,68.4356583333333,67.4858166666667,50.3369166666667,,,,,,,,119.161416666667,123.190666666667,119.810583333333,119.603083333333,118.76175,,,,,0,0,0,0,0,0,2.009,1.24,1.3,0,0,0,2.00771916666666,0,2.009,0,0,0.00932559416666666,0,0,0,0,140.192666666667,139.910583333333,139.692166666667,139.885416666667,139.9645,141.244,140.315416666667,140.130916666667,140.243083333333,139.915166666667,136.774166666667,118.097,124.26225,124.356583333333,124.5375,124.8035,124.689083333333,125.135083333333,124.893666666667,124.99125,123.843833333333,116.9705,114.722833333333,113.554666666667,0.298333333333333,138.030423611111,122.2300625,115.076666666667,124.983833333333,74.8947583333333,100.596833333333,0,0,0.265040416666666,0.268193,2.00771916666666,1.6798175,1.68258333333333,1.68003,102.11775,70.4509166666667,1,0.32513583333333,0.32897,2.009,1.948223,0.0607769999999999,0,168,-718.857986111099,-89.8572482638873,-69.4450356063514,0.16111352402209,0.133495769039323,0.238569861014547,0.104551842742166,,,-40.8807641669936,0,0.0169659243,-53.9077148261757,,
265,68.17865,67.4813833333333,50.428975,,,,,,,,119.1775,123.366,119.85125,119.637583333333,118.776583333333,,,,,0,0,0,0,0,0,1.988707,1.27,1.3,0,0,0,1.98874333333332,0,1.988707,0,0,0.00933278583333333,0,0,0,0,140.263166666667,139.967416666667,139.72925,139.944333333333,140.03375,141.312916666667,140.39625,140.19,140.330666666667,140.03675,136.886166666667,118.2135,124.362333333333,124.421583333333,124.611166666667,124.89425,124.751083333333,125.258333333333,124.963333333333,125.074916666667,124.217333333333,117.040916666667,114.86125,113.647583333333,0.297666666666667,138.108680555556,122.342006944445,115.213916666667,124.968666666667,74.74145,100.603166666667,0,0,0.265027333333332,0.2631328,1.98874333333332,1.69997749999999,1.71135249999999,1.710667,100.22365,70.4338583333333,1,0.27739083333333,0.27804,1.988707,1.9737998,0.0149072000000001,0,169,1954.78926047164,244.348657558955,264.784796801496,0.160857108750149,0.132313508224188,0.238112155372673,0.104718032656641,,,111.166990278331,0,0.01692801162,77.7134499658313,,
266,67.5628833333333,67.4858083333333,50.0804166666667,,,,,,,,119.20975,123.442,119.883166666667,119.66375,118.813166666667,,,,,0,0,0,0,0,0,1.998854,1.27333333333333,1.3,0,0,0,1.99819333333332,0,1.998854,0,0,0.00924743833333333,0,0,0,0,140.386333333333,140.055916666667,139.828,140.0735,140.187333333333,141.49675,140.586916666667,140.40875,140.601583333333,140.351416666667,137.2315,118.33325,124.395583333333,124.571916666667,124.818583333333,125.114416666667,124.96925,125.541083333333,125.172416666667,125.266166666667,123.946,117.234166666667,115.126583333333,113.781583333333,0.2995,138.295104166667,122.4948125,115.304,124.960083333333,74.6924333333333,100.308416666667,0,0,0.257412166666666,0.2580726,1.99819333333332,1.67632999999998,1.69341583333332,1.695349,101.606,70.4225666666667,1,0.3047775,0.303505,1.998854,1.9534216,0.0454323999999999,0,170,2668.31159348915,333.538949186144,354.027750063845,0.159115521688699,0.129110280190549,0.238910127384226,0.104063837638782,,,151.744320971662,0,0.01703227149,185.12889913183,,
267,66.847875,67.503625,49.6610333333333,,,,,,,,119.2335,123.448083333333,119.897583333333,119.67825,118.828,,,,,0,0,0,0,0,0,2.003926,1.24333333333333,1.3,0,0,0,2.00650416666665,0,2.003926,0,0,0.00919539416666667,0,0,0,0,140.458916666667,140.105833333333,139.87525,140.138,140.26625,141.597583333333,140.717333333333,140.546833333333,140.759583333333,140.488333333333,137.31725,118.404916666667,124.65775,124.666583333333,124.885833333333,125.2215,125.07625,125.655,125.271583333333,125.385583333333,123.791833333333,117.373833333333,115.21925,113.841416666667,0.297166666666666,138.389673611111,122.587201388889,115.239166666667,124.95375,74.6786916666667,100.155241666667,0,0,0.261806583333333,0.2580726,2.00650416666665,1.71891416666666,1.71130083333332,1.715776,102.407583333333,70.4054833333333,1,0.29520333333333,0.28815,2.003926,1.9738486,0.0300773999999999,0,171,1613.30746409541,201.663433011926,222.174442448011,0.157567968363749,0.128783497993439,0.239184235466098,0.103990697823117,,,91.7472480556706,0,0.01689957711,93.9126596523415,,
268,66.567275,67.5142666666667,49.5759,,,,,,,,119.25,123.439083333333,119.920583333333,119.704666666667,118.854583333333,,,,,0,0,0,0,0,0,2.003926,1.28333333333333,1.3,0,0,0,1.99818916666665,0,2.003926,0,0,0.00930171833333333,0,0,0,0,140.4385,140.097083333333,139.906166666667,140.160833333333,140.31375,141.676166666667,140.80675,140.651416666667,140.87625,140.608666666667,137.397,118.351583333333,124.697583333333,124.775333333333,124.983916666667,125.317416666667,125.191666666667,125.731083333333,125.378833333333,125.493416666667,124.195833333333,117.466583333333,115.273333333333,113.84575,0.295249999999999,138.440347222222,122.695895833333,115.2705,124.9565,74.814575,100.557125,0,0,0.255507166666666,0.2580726,1.99818916666665,1.70479916666665,1.68961416666665,1.685135,102.0115,70.386,1,0.308575,0.318791,2.003926,1.9432076,0.0607183999999998,0,172,1898.03731418264,237.254664272831,257.777257026174,0.160078776184062,0.128783497993439,0.240429025260613,0.104843589340197,,,107.939561527334,0,0.0167905781549999,50.3216828818286,,
269,67.0670583333333,67.513425,49.7700083333333,,,,,,,,119.2735,123.412166666667,119.937,119.7335,118.869333333333,,,,,0,0,0,0,0,0,1.998854,1.26333333333333,1.3,0,0,0,2.00260333333332,0,1.998854,0,0,0.00942124833333334,0,0,0,0,140.282583333333,140.038583333333,139.84025,140.08375,140.209916666667,141.556916666667,140.654,140.502833333333,140.68025,140.359083333333,137.1065,118.221416666667,124.380916666667,124.578333333333,124.827833333333,125.126166666667,125.008583333333,125.465416666667,125.207583333333,125.269833333333,123.557833333333,117.23575,115.002333333333,113.6955,0.296833333333333,138.294673611111,122.446340277778,115.297,124.939416666667,74.758575,100.363558333333,0,0,0.251745333333332,0.2530124,2.00260333333332,1.70543083333333,1.69978666666666,1.700455,102.046166666667,70.3575583333333,1,0.30281666666666,0.298399,1.998854,1.9534674,0.0453865999999998,0,173,-4357.77337864768,-544.72167233096,-524.240986968949,0.160317332474213,0.126578729612068,0.240243432978363,0.104372650193796,,,-247.822392221662,0,0.01688062077,-144.661907881827,,
270,67.8816166666667,67.4877333333333,50.217925,,,,,,,,119.306166666667,123.396416666667,119.93625,119.77125,118.889833333333,,,,,0,0,0,0,0,0,1.998852,1.25333333333333,1.3,0,0,0,2.00012083333332,0,1.998852,0,0,0.00936046833333333,0,0,0,0,140.176,139.914833333333,139.7355,139.933083333333,140.035666666667,141.3465,140.411,140.264333333333,140.385,140.0255,136.753666666667,118.036416666667,124.118666666667,124.402666666667,124.635416666667,124.918333333333,124.80225,125.21075,124.99725,125.023166666667,122.684333333333,117.026416666667,114.759583333333,113.54975,0.293916666666667,138.084791666667,122.177381944444,115.318,124.929833333333,74.8098333333333,100.28665,0,0,0.234097583333334,0.2327713,2.00012083333332,1.69748833333333,1.69277666666666,1.690242,102.358916666667,70.3310833333334,1,0.30734416666666,0.30861,1.998852,1.9230133,0.0758387,0,174,-4696.5873485038,-587.073418562975,-566.646028998931,0.154045188761813,0.116452493731402,0.239945637569822,0.10335336559609,,,-267.090417709008,0,0.016714752795,-208.424314339829,,
271,68.4361,67.4776333333333,50.390425,,,,,,,,119.33975,123.3435,119.947333333333,119.791583333333,118.909166666667,,,,,0,0,0,0,0,0,1.998854,1.3,1.3,0,0,0,1.99831083333334,0,1.998854,0,0,0.00934931083333333,0,0,0,0,140.10775,139.828,139.605333333333,139.826416666667,139.918333333333,141.213083333333,140.264583333333,140.100416666667,140.20875,139.840416666667,136.597,117.985,124.05275,124.30725,124.5195,124.81375,124.683666666667,125.119666666667,124.885,124.889166666667,122.6905,116.973333333333,114.69225,113.50225,0.298666666666666,137.957923611111,122.094090277778,115.265416666667,124.93225,74.7851,100.844666666667,0,0,0.232811833333334,0.2327713,1.99831083333334,1.695345,1.68575416666667,1.690243,102.122333333333,70.3123083333333,1,0.31255666666667,0.308611,1.998854,1.9230143,0.0758397,0,175,-1454.45052045859,-181.806315057324,-161.412712546393,0.151753564366659,0.116452377212143,0.239042610186685,0.102953737769962,,,-82.7132060410044,0,0.01698488064,-125.986956910166,,
272,68.3566166666667,67.4686833333333,50.4149666666667,,,,,,,,119.360916666667,123.288083333333,119.91875,119.77625,118.934083333333,,,,,0,0,0,0,0,0,2.003927,1.25333333333333,1.3,0,0,0,2.00148999999999,0,2.003927,0,0,0.00933749916666667,0,0,0,0,140.114916666667,139.839833333333,139.624333333333,139.842833333333,139.947083333333,141.226666666667,140.302833333333,140.11575,140.260416666667,139.921166666667,136.712833333333,118.054416666667,124.207083333333,124.371916666667,124.564083333333,124.87875,124.76625,125.27775,124.989416666667,125.029916666667,122.503416666667,117.104166666667,114.873,113.57925,0.297583333333333,137.996923611111,122.17875,115.20175,124.922333333333,74.7310333333333,100.277725,0,0,0.207554583333333,0.2074699,2.00148999999999,1.76351666666666,1.73935333333333,1.74131,101.896416666667,70.2960083333333,1,0.26213666666666,0.262617,2.003927,1.9487799,0.0551471000000001,0,176,1478.33969443106,184.792461803882,205.199938736109,0.14204473114623,0.103531665574644,0.238678573376911,0.102297409507474,,,84.071760451168,0,0.016923272535,38.7291449999874,,
